Elevation,Sig1,Total_S4_Sig1,Correction_total_S4_Sig1,y
15.0,41.0,0.133,0.08900000000000001,0
59.0,50.4,0.048,0.03,0
51.0,48.7,0.066,0.037000000000000005,0
75.0,52.0,0.034,0.025,0
35.0,46.5,0.08199999999999999,0.047,0
29.0,44.1,0.11199999999999999,0.062,0
29.0,44.5,0.165,0.06,0
39.0,47.9,0.07200000000000001,0.04,0
43.0,48.3,0.063,0.038,0
14.0,40.3,0.135,0.09699999999999999,0
58.0,50.1,0.054000000000000006,0.031,0
51.0,48.5,0.055999999999999994,0.038,0
76.0,51.9,0.038,0.025,0
35.0,46.7,0.099,0.046,0
29.0,44.8,0.114,0.057999999999999996,0
29.0,45.8,0.168,0.052000000000000005,0
40.0,48.5,0.09,0.038,0
44.0,48.1,0.065,0.039,0
58.0,50.0,0.054000000000000006,0.032,0
50.0,48.8,0.053,0.036000000000000004,0
76.0,52.0,0.035,0.025,0
35.0,46.7,0.081,0.046,0
29.0,45.0,0.076,0.055999999999999994,0
28.0,45.6,0.095,0.052000000000000005,0
40.0,48.3,0.057,0.038,0
44.0,48.1,0.071,0.039,0
14.0,40.5,0.168,0.095,0
58.0,50.0,0.051,0.032,0
50.0,48.9,0.11800000000000001,0.036000000000000004,0
76.0,51.7,0.044000000000000004,0.026000000000000002,0
36.0,46.7,0.062,0.046,0
30.0,44.6,0.091,0.059000000000000004,0
28.0,44.7,0.11199999999999999,0.057999999999999996,0
41.0,48.2,0.068,0.039,0
44.0,48.3,0.061,0.038,0
57.0,49.9,0.05,0.032,0
50.0,49.0,0.063,0.036000000000000004,0
76.0,51.5,0.038,0.027000000000000003,0
36.0,46.9,0.085,0.045,0
30.0,45.5,0.075,0.053,0
28.0,44.7,0.129,0.057999999999999996,0
41.0,48.2,0.066,0.039,0
45.0,48.4,0.081,0.038,0
57.0,50.1,0.052000000000000005,0.031,0
49.0,49.2,0.057999999999999996,0.035,0
76.0,51.4,0.034,0.027000000000000003,0
36.0,47.1,0.07,0.044000000000000004,0
31.0,46.0,0.128,0.05,0
27.0,44.3,0.099,0.061,0
42.0,48.2,0.076,0.039,0
45.0,48.1,0.059000000000000004,0.039,0
12.0,40.4,0.18600000000000005,0.096,0
56.0,50.1,0.053,0.031,0
49.0,48.8,0.05,0.036000000000000004,0
76.0,51.5,0.04,0.027000000000000003,0
36.0,47.0,0.084,0.045,0
31.0,46.3,0.087,0.048,0
27.0,44.5,0.11599999999999999,0.059000000000000004,0
42.0,48.4,0.066,0.038,0
46.0,48.2,0.07200000000000001,0.039,0
56.0,50.2,0.052000000000000005,0.031,0
49.0,48.6,0.066,0.037000000000000005,0
76.0,51.5,0.044000000000000004,0.026000000000000002,0
36.0,46.9,0.07400000000000001,0.045,0
