Phase and Amplitude Scintillation Indices

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2117,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma 
 97800.00,1,0,7, 294.79,17.93,48.78,716.429993,-843.639,0.031,0.057536,0.036408,0.052460,0.065362,0.076769,0.077057,0.077246 
 97860.00,1,0,1, 294.30,17.96,41.08,778.570007,0.598,0.015,0.151639,0.088417,0.122389,0.137391,0.157367,0.158376,0.158432 
 97860.00,1,0,7, 294.30,17.96,48.38,776.429993,-843.764,0.032,0.057655,0.038114,0.056221,0.074067,0.093286,0.094323,0.094370 
 97920.00,1,0,1, 293.87,17.98,42.70,838.570007,0.924,0.227,0.194044,0.073318,0.098963,0.107081,0.116852,0.117585,0.117589 
 97920.00,1,0,7, 293.87,17.98,48.03,836.429993,-843.864,0.031,0.073491,0.039692,0.056264,0.063978,0.072644,0.073167,0.073169 
 97980.00,1,0,1, 293.41,18.00,44.84,898.570007,2.216,0.479,0.126495,0.057323,0.076967,0.098678,0.114904,0.115169,0.115324 
 97980.00,1,0,7, 293.41,18.00,47.43,896.429993,-843.998,0.047,0.066356,0.042543,0.058557,0.074552,0.085986,0.086177,0.086315 
 98040.00,1,0,1, 292.95,18.01,44.47,958.570007,3.538,0.255,0.088585,0.059827,0.074152,0.087788,0.100685,0.101500,0.101485 
 98040.00,1,0,7, 292.95,18.01,46.99,956.429993,-844.181,0.047,0.065970,0.044744,0.060754,0.069486,0.077992,0.078578,0.078566 
 98100.00,1,0,1, 292.49,18.02,44.25,1018.570007,3.761,0.175,0.122924,0.061311,0.095292,0.113975,0.129789,0.130039,0.130271 
 98100.00,1,0,7, 292.49,18.02,47.48,1016.429993,-844.195,0.034,0.086888,0.042274,0.058322,0.074666,0.087023,0.087228,0.087412 
 98160.00,1,0,1, 292.00,18.03,42.82,1078.569946,2.348,0.498,0.194181,0.072339,0.165639,0.172328,0.179283,0.179534,0.179583 
 98160.00,1,0,7, 292.00,18.03,47.96,1076.430054,-844.029,0.053,0.066699,0.039998,0.056581,0.066639,0.074609,0.075022,0.075088 
 98220.00,1,0,1, 291.56,18.03,41.64,1138.569946,1.489,0.100,0.287003,0.082900,0.198166,0.209341,0.223798,0.223946,0.223929 
 98220.00,1,0,7, 291.56,18.03,47.17,1136.430054,-843.879,0.037,0.065090,0.043838,0.058878,0.078146,0.093405,0.093635,0.093659 
 98280.00,1,0,1, 291.10,18.03,40.29,1198.569946,0.702,0.296,0.289353,0.096798,0.243992,0.246411,0.251480,0.251359,0.251318 
 98280.00,1,0,7, 291.10,18.03,48.17,1196.430054,-843.773,0.019,0.106900,0.039050,0.055077,0.062489,0.074450,0.074479,0.074474 
 98340.00,1,0,1, 290.64,18.02,42.50,1258.569946,1.225,0.557,0.197395,0.075008,0.150770,0.155379,0.167478,0.168204,0.168293 
 98340.00,1,0,7, 290.64,18.02,49.47,1256.430054,-843.763,0.017,0.096262,0.033604,0.048897,0.057536,0.073813,0.074856,0.074984 
 98400.00,1,0,1, 290.17,18.01,41.32,1318.569946,2.932,0.340,0.240808,0.086026,0.091747,0.105059,0.117898,0.118634,0.118654 
 98400.00,1,0,7, 290.17,18.01,50.56,1316.430054,-843.844,0.020,0.086779,0.029655,0.044969,0.060024,0.072997,0.073689,0.073728 
 98460.00,1,0,1, 289.68,18.00,38.22,1378.569946,3.228,0.182,0.206521,0.122917,0.124506,0.134115,0.146248,0.146597,0.146574 
 98460.00,1,0,7, 289.68,18.00,51.05,1376.430054,-843.863,0.004,0.075964,0.028015,0.044802,0.058872,0.071104,0.071564,0.071556 
 98520.00,1,0,1, 289.25,17.98,38.41,1438.569946,2.437,0.208,0.190357,0.120250,0.113324,0.124642,0.137379,0.137637,0.137717 
 98520.00,1,0,7, 289.25,17.98,49.06,1436.430054,-843.863,0.010,0.174770,0.035256,0.051775,0.064693,0.078257,0.078612,0.078694 
 98580.00,1,0,1, 288.78,17.96,40.53,1498.569946,1.899,0.145,0.143101,0.094165,0.094784,0.106238,0.125601,0.126042,0.126390 
 98580.00,1,0,7, 288.78,17.96,47.36,1496.430054,-843.938,0.026,0.078954,0.042888,0.059077,0.068632,0.086177,0.086558,0.086842 
 98640.00,1,0,1, 288.32,17.94,39.22,1558.569946,1.345,0.131,0.149940,0.109552,0.108199,0.119874,0.136233,0.136845,0.136908 
 98640.00,1,0,7, 288.32,17.94,47.41,1556.430054,-843.943,0.025,0.070416,0.042600,0.058384,0.068638,0.084843,0.085271,0.085346 
 98700.00,1,0,1, 287.85,17.91,40.75,1618.569946,1.786,0.323,0.221879,0.091826,0.097205,0.110743,0.127126,0.127522,0.127508 
 98700.00,1,0,7, 287.85,17.91,48.01,1616.430054,-843.846,0.032,0.068236,0.039793,0.055871,0.067947,0.081157,0.081504,0.081490 
 98760.00,1,0,1, 287.36,17.87,42.36,1678.569946,2.677,0.226,0.094834,0.076252,0.079503,0.093883,0.102889,0.103986,0.103981 
 98760.00,1,0,7, 287.36,17.87,47.99,1676.430054,-843.717,0.031,0.086662,0.039847,0.055039,0.065605,0.073965,0.074725,0.074714 
 98820.00,1,0,1, 286.92,17.84,42.82,1738.569946,3.475,0.227,0.084919,0.072321,0.078636,0.094102,0.113087,0.113688,0.113735 
 98820.00,1,0,7, 286.92,17.84,46.73,1736.430054,-843.737,0.037,0.102623,0.046102,0.060161,0.072978,0.087412,0.087895,0.087933 
 98880.00,1,0,1, 286.46,17.80,41.85,1798.569946,3.837,0.087,0.124225,0.080843,0.086844,0.107286,0.116080,0.116581,0.116605 
 98880.00,1,0,7, 286.46,17.80,46.89,1796.430054,-843.927,0.061,0.135012,0.045226,0.060835,0.077200,0.084343,0.084659,0.084675 
 98940.00,1,0,1, 286.00,17.75,40.37,1858.569946,2.720,0.641,0.152586,0.095975,0.096217,0.104353,0.113193,0.113353,0.113440 
 98940.00,1,0,7, 286.00,17.75,49.24,1856.430054,-844.025,0.009,0.115178,0.034516,0.051571,0.059060,0.067581,0.067712,0.067814 
 99000.00,1,0,1, 285.53,17.70,40.08,1918.569946,0.976,0.166,0.119799,0.099186,0.101971,0.116891,0.130011,0.130516,0.130507 
 99000.00,1,0,7, 285.53,17.70,49.08,1916.430054,-844.012,0.014,0.119181,0.035164,0.051007,0.065074,0.077553,0.078030,0.078026 
 99060.00,1,0,1, 285.04,17.65,40.64,1978.569946,1.257,0.246,0.176362,0.093018,0.094445,0.109835,0.132168,0.132557,0.132688 
 99060.00,1,0,7, 285.04,17.65,47.28,1976.430054,-844.100,0.025,0.117999,0.043253,0.060648,0.075691,0.093882,0.094287,0.094377 
 99120.00,1,0,1, 284.61,17.60,42.49,2038.569946,2.423,0.406,0.093276,0.075102,0.080515,0.097403,0.120323,0.121257,0.121283 
 99120.00,1,0,7, 284.61,17.60,47.25,2036.430054,-844.037,0.056,0.104584,0.043419,0.058847,0.070832,0.089089,0.089790,0.089799 
 99180.00,1,0,1, 284.14,17.54,41.60,2098.570068,3.282,0.118,0.178880,0.083223,0.090052,0.112437,0.134043,0.134944,0.135038 
 99180.00,1,0,7, 284.14,17.54,48.74,2096.429932,-843.867,0.035,0.112981,0.036560,0.052098,0.072453,0.090657,0.091360,0.091428 
 99240.00,1,0,1, 283.68,17.48,40.68,2158.570068,2.154,0.415,0.140596,0.092613,0.092932,0.106464,0.120414,0.121141,0.121170 
 99240.00,1,0,7, 283.68,17.48,49.94,2156.429932,-843.779,0.021,0.058055,0.031857,0.047448,0.060792,0.074609,0.075339,0.075364 
 99300.00,1,0,1, 283.22,17.41,41.87,2218.570068,1.177,0.143,0.098982,0.080680,0.083424,0.091094,0.096109,0.096664,0.096665 
 99300.00,1,0,7, 283.22,17.41,50.13,2216.429932,-843.717,0.014,0.050243,0.031153,0.046128,0.053834,0.058715,0.059125,0.059119 
 99360.00,1,0,1, 282.73,17.34,41.87,2278.570068,1.471,0.280,0.116004,0.080673,0.087015,0.109799,0.122499,0.123086,0.123078 
 99360.00,1,0,7, 282.73,17.34,49.59,2276.429932,-843.753,0.032,0.067246,0.033156,0.050382,0.071138,0.081284,0.081749,0.081742 
 99420.00,1,0,1, 282.30,17.27,42.70,2338.570068,2.322,0.182,0.179252,0.073373,0.077784,0.094735,0.108075,0.108612,0.108631 
 99420.00,1,0,7, 282.30,17.27,48.86,2336.429932,-843.864,0.035,0.060956,0.036076,0.049717,0.064684,0.076244,0.076589,0.076600 
 99480.00,1,0,1, 281.84,17.19,43.87,2398.570068,2.984,0.115,0.128112,0.064069,0.075188,0.091658,0.108004,0.108362,0.108468 
 99480.00,1,0,7, 281.84,17.19,48.40,2396.429932,-844.001,0.040,0.056359,0.038018,0.052107,0.065417,0.077860,0.078126,0.078191 
 99540.00,1,0,1, 281.38,17.11,42.55,2458.570068,2.507,0.267,0.103532,0.074617,0.083735,0.100702,0.120426,0.120896,0.120885 
 99540.00,1,0,7, 281.38,17.11,48.60,2456.429932,-844.055,0.025,0.071780,0.037177,0.052764,0.066612,0.083292,0.083709,0.083705 
 99600.00,1,0,1, 280.92,17.03,43.68,2518.570068,2.125,0.093,0.142028,0.065461,0.077022,0.094252,0.103403,0.103739,0.103766 
 99600.00,1,0,7, 280.92,17.03,49.12,2516.429932,-843.906,0.046,0.054712,0.035010,0.051042,0.064081,0.071306,0.071660,0.071689 
 99660.00,1,0,1, 280.44,16.94,42.49,2578.570068,2.297,0.131,0.151443,0.075152,0.087803,0.102487,0.124040,0.124501,0.124512 
 99660.00,1,0,7, 280.44,16.94,48.84,2576.429932,-843.865,0.022,0.054568,0.036140,0.051279,0.064398,0.083556,0.083974,0.083983 
 99720.00,1,0,1, 280.00,16.85,42.27,2638.570068,1.663,0.152,0.109867,0.077059,0.096049,0.117885,0.133418,0.133546,0.133567 
 99720.00,1,0,7, 280.00,16.85,49.24,2636.429932,-843.890,0.017,0.056084,0.034502,0.051443,0.073800,0.086882,0.087048,0.087070 
 99780.00,1,0,1, 279.55,16.76,43.39,2698.570068,1.949,0.248,0.109150,0.067699,0.088731,0.115635,0.135646,0.136710,0.136871 
 99780.00,1,0,7, 279.55,16.76,48.03,2696.429932,-843.870,0.021,0.142595,0.039679,0.056680,0.079123,0.095794,0.096657,0.096796 
 99840.00,1,0,1, 279.09,16.67,42.62,2758.570068,1.911,0.267,0.110095,0.074023,0.090287,0.099793,0.116498,0.117517,0.117539 
 99840.00,1,0,7, 279.09,16.67,46.16,2756.429932,-844.034,0.064,0.105108,0.049232,0.062847,0.071395,0.084187,0.085142,0.085151 
 99900.00,1,0,1, 278.64,16.57,43.77,2818.570068,1.571,0.205,0.123216,0.064796,0.077943,0.093849,0.106131,0.106851,0.106887 
 99900.00,1,0,7, 278.64,16.57,46.98,2816.429932,-844.159,0.013,0.146241,0.044759,0.059851,0.072028,0.080792,0.081387,0.081407 
 99960.00,1,0,1, 278.16,16.46,45.05,2878.570068,2.624,0.302,0.093777,0.055927,0.070142,0.090570,0.105203,0.105377,0.105448 
 99960.00,1,0,7, 278.16,16.46,48.93,2876.429932,-843.997,0.081,0.139465,0.035758,0.050556,0.066014,0.078403,0.078555,0.078592 
100020.00,1,0,1, 277.73,16.36,43.47,2938.570068,2.790,0.140,0.115130,0.067073,0.078000,0.088874,0.103356,0.103650,0.103639 
100020.00,1,0,7, 277.73,16.36,49.53,2936.429932,-843.717,0.076,0.075352,0.033369,0.047707,0.058992,0.071611,0.071784,0.071792 
100080.00,1,0,1, 277.28,16.25,44.76,2998.570068,3.322,0.408,0.112991,0.057817,0.071160,0.087375,0.111371,0.112779,0.113042 
100080.00,1,0,7, 277.28,16.25,48.03,2996.429932,-843.552,0.015,0.125696,0.039685,0.054828,0.066568,0.084664,0.085742,0.085930 
100140.00,1,0,1, 276.83,16.14,42.10,3058.570068,2.875,0.906,0.281895,0.078579,0.092848,0.102417,0.120201,0.121277,0.121290 
